,经度,纬度
418,112.863273,32.752699
419,112.863251,32.752722
420,112.863243,32.752761
421,112.863251,32.752792
422,112.863262,32.752826
423,112.86327,32.752854
424,112.863277,32.752889
425,112.863281,32.752915
426,112.863286,32.752933
427,112.863296,32.752972
428,112.863302,32.753
429,112.863304,32.753017
430,112.863314,32.753055
431,112.863316,32.753065
432,112.863324,32.753093
433,112.86333,32.753113
434,112.863339,32.753151
435,112.863343,32.753168
436,112.863347,32.753188
437,112.863355,32.753225
438,112.863365,32.753262
439,112.863376,32.753297
440,112.86338,32.753315
441,112.863389,32.753355
442,112.863394,32.753383
443,112.863397,32.7534
444,112.863407,32.753438
445,112.863412,32.753465
446,112.863425,32.753483
447,112.863469,32.753495
448,112.863467,32.753495
449,112.863448,32.75349
450,112.863413,32.753495
451,112.86345,32.75347
452,112.863453,32.753456
453,112.863459,32.753434
454,112.863447,32.753391
455,112.863443,32.753363
456,112.86344,32.753345
457,112.863429,32.753312
458,112.86342,32.753286
459,112.863414,32.753251
460,112.863409,32.753224
461,112.863405,32.753207
462,112.863398,32.753164
463,112.863393,32.753147
464,112.863387,32.75312
465,112.863381,32.753093
466,112.863374,32.753065
467,112.86337,32.75305
468,112.863363,32.753013
469,112.863359,32.752997
470,112.863355,32.75298
471,112.863345,32.752944
472,112.863336,32.752916
473,112.863328,32.752882
474,112.863323,32.752857
475,112.863318,32.752831
476,112.863306,32.752795
477,112.8633,32.75278
478,112.863285,32.752746
479,112.863272,32.752723
480,112.863251,32.752712
481,112.863255,32.752713
482,112.863293,32.752715
483,112.863281,32.752724
484,112.863266,32.752775
485,112.86328,32.752812
486,112.863291,32.752856
487,112.863295,32.752889
488,112.863301,32.75291
489,112.863306,32.752933
490,112.863317,32.752975
491,112.863322,32.752997
492,112.863328,32.753042
493,112.863337,32.753073
494,112.863342,32.753095
495,112.863351,32.75314
496,112.863358,32.753171
497,112.863363,32.753197
498,112.863384,32.753284
499,112.863394,32.753321
500,112.863403,32.753366
501,112.863409,32.753396
502,112.863421,32.753453
503,112.863449,32.753495
504,112.863448,32.753486
505,112.863449,32.753484
506,112.863449,32.753484
507,112.863448,32.753484
508,112.863447,32.753478
509,112.863522,32.753475
510,112.863534,32.753476
511,112.86355,32.753473
512,112.863588,32.753466
513,112.863609,32.753459
514,112.863623,32.753453
515,112.86366,32.753442
516,112.863682,32.753441
517,112.863696,32.753436
518,112.863731,32.753424
519,112.86376,32.753413
520,112.863772,32.753407
521,112.863768,32.753407
522,112.863719,32.753425
523,112.863714,32.75343
524,112.863738,32.753408
525,112.863762,32.753379
526,112.863778,32.753359
527,112.863787,32.753343
528,112.863804,32.753314
529,112.86381,32.753289
530,112.863807,32.753248
531,112.863803,32.753219
532,112.8638,32.753197
533,112.863788,32.75316
534,112.863779,32.75313
535,112.863774,32.75311
536,112.863766,32.753069
537,112.863761,32.753027
538,112.863753,32.753008
539,112.863747,32.752967
540,112.863742,32.752948
541,112.863738,32.75293
542,112.863728,32.75289
543,112.863723,32.752871
544,112.863716,32.752851
545,112.863707,32.752812
546,112.863704,32.752792
547,112.863695,32.752751
548,112.863687,32.752702
549,112.863674,32.752663
550,112.863671,32.752647
551,112.863668,32.752633
552,112.863663,32.752618
553,112.863672,32.75265
554,112.863658,32.752636
555,112.863626,32.752626
556,112.863607,32.752626
557,112.863573,32.75263
558,112.863551,32.752634
559,112.863521,32.75264
560,112.8635,32.752643
561,112.863487,32.752646
562,112.86346,32.752651
563,112.863439,32.752657
564,112.863422,32.752663
565,112.863395,32.752668
566,112.86338,32.752673
567,112.863392,32.752671
568,112.863438,32.75266
569,112.863448,32.752659
570,112.863425,32.752671
571,112.863398,32.752691
572,112.863402,32.752684
573,112.863396,32.752706
574,112.863398,32.752726
575,112.863403,32.75277
576,112.863408,32.752789
577,112.863414,32.75283
578,112.86342,32.752862
579,112.863424,32.752881
580,112.863434,32.752921
581,112.863442,32.75295
582,112.863444,32.752971
583,112.863454,32.753009
584,112.863461,32.753048
585,112.863466,32.753067
586,112.863473,32.753106
587,112.86348,32.753135
588,112.863487,32.753164
589,112.863492,32.753194
590,112.863498,32.753241
591,112.86351,32.75329
592,112.863516,32.753328
593,112.863523,32.753355
594,112.863527,32.753374
595,112.863557,32.753452
596,112.863555,32.753455
597,112.863537,32.753436
598,112.86353,32.753422
599,112.863548,32.753439
600,112.863572,32.753448
601,112.863545,32.753436
602,112.863571,32.753436
603,112.863612,32.753433
604,112.863635,32.75343
605,112.863683,32.753421
606,112.863716,32.753403
607,112.863735,32.753388
608,112.863758,32.753352
609,112.863782,32.753301
610,112.863784,32.753258
611,112.863781,32.753239
612,112.863778,32.753227
613,112.863772,32.753205
614,112.863769,32.753186
615,112.863761,32.753163
616,112.863751,32.753113
617,112.863745,32.75309
618,112.863742,32.753067
619,112.863728,32.753019
620,112.863722,32.752983
621,112.863712,32.752936
622,112.863703,32.752899
623,112.8637,32.752887
624,112.863691,32.752851
625,112.863681,32.752803
626,112.863677,32.752778
627,112.863666,32.752732
628,112.863659,32.752701
629,112.863631,32.752626
630,112.863636,32.752633
631,112.863661,32.752654
632,112.863653,32.752651
633,112.86363,32.75265
634,112.863614,32.752651
635,112.863583,32.752656
636,112.86356,32.752662
637,112.863553,32.752663
638,112.863525,32.75267
639,112.863504,32.752675
640,112.863489,32.752678
641,112.86346,32.752688
642,112.863441,32.752698
643,112.863427,32.752706
644,112.863408,32.752726
645,112.863407,32.752729
646,112.863418,32.752707
647,112.863417,32.752704
648,112.863417,32.752704
649,112.863419,32.75274
650,112.863427,32.752775
651,112.86343,32.752786
652,112.863442,32.752831
653,112.863448,32.752864
654,112.863452,32.752885
655,112.863462,32.752932
656,112.863469,32.752965
657,112.863474,32.752986
658,112.863483,32.753031
659,112.86349,32.753068
660,112.863495,32.753088
661,112.863513,32.753166
662,112.863521,32.753211
663,112.86353,32.753254
664,112.863534,32.753276
665,112.863545,32.753321
666,112.863556,32.753366
667,112.863561,32.753386
668,112.863574,32.75343
669,112.863595,32.753448
670,112.863619,32.75345
671,112.86359,32.753442
672,112.863632,32.753422
673,112.863643,32.753417
674,112.863665,32.753405
675,112.863685,32.753397
676,112.863696,32.75339
677,112.863707,32.753382
678,112.863728,32.753362
679,112.863737,32.753348
680,112.863749,32.753321
681,112.863758,32.753284
682,112.863759,32.753279
683,112.863754,32.753228
684,112.863747,32.753206
685,112.863741,32.753185
686,112.863733,32.75314
687,112.863722,32.753095
688,112.863711,32.75305
689,112.863705,32.753019
690,112.863703,32.753008
691,112.863692,32.752964
692,112.863685,32.75293
693,112.863683,32.752907
694,112.863672,32.752862
695,112.863664,32.752829
696,112.863659,32.752806
697,112.863655,32.752797
698,112.86365,32.752775
699,112.863643,32.752743
700,112.863638,32.752719
701,112.863626,32.752676
702,112.863619,32.752665
703,112.863582,32.75264
704,112.86354,32.752648
705,112.863506,32.752667
706,112.863483,32.752681
707,112.863463,32.752695
708,112.863432,32.752733
709,112.863433,32.752743
710,112.863441,32.752716
711,112.863443,32.752727
712,112.863451,32.75276
713,112.863461,32.752806
714,112.863469,32.752839
715,112.863472,32.75285
716,112.86349,32.752929
717,112.863502,32.752983
718,112.863509,32.753017
719,112.863524,32.753082
720,112.863529,32.753116
721,112.863536,32.753138
722,112.863549,32.753205
723,112.863558,32.753248
724,112.863565,32.753282
725,112.863569,32.753304
726,112.863573,32.753328
727,112.863585,32.753374
728,112.863593,32.753407
729,112.863597,32.753417
730,112.86364,32.753445
731,112.863618,32.753436
732,112.863635,32.753436
733,112.8637,32.753414
734,112.863726,32.753394
735,112.863744,32.753359
736,112.863741,32.75331
737,112.863739,32.75329
738,112.863727,32.753242
739,112.863719,32.75321
740,112.863713,32.753188
741,112.863706,32.753143
742,112.863701,32.753109
743,112.863695,32.753088
744,112.863682,32.753042
745,112.863674,32.75301
746,112.863671,32.752999
747,112.863666,32.752966
748,112.863659,32.752933
749,112.863651,32.752899
750,112.863644,32.752868
751,112.863632,32.752812
752,112.863622,32.752755
753,112.863616,32.752722
754,112.863614,32.752708
755,112.863609,32.752684
756,112.863606,32.752665
757,112.863573,32.75264
758,112.863501,32.752653
759,112.863484,32.752671
760,112.86347,32.752719
761,112.863479,32.752752
762,112.863488,32.752785
763,112.863496,32.752827
764,112.863502,32.75286
765,112.86351,32.752903
766,112.863518,32.752936
767,112.863524,32.752969
768,112.863535,32.753013
769,112.863538,32.753034
770,112.86355,32.753088
771,112.863557,32.753123
772,112.863561,32.753146
773,112.863569,32.7532
774,112.863574,32.753223
775,112.863582,32.753268
776,112.863588,32.7533
777,112.863602,32.753345
778,112.86361,32.753377
779,112.863624,32.753408
780,112.863672,32.75343
781,112.863647,32.753425
782,112.863646,32.753425
783,112.863702,32.7534
784,112.863717,32.753366
785,112.863713,32.753309
786,112.863704,32.753275
787,112.863701,32.753253
788,112.863687,32.753197
789,112.863679,32.753165
790,112.863674,32.753143
791,112.863662,32.753087
792,112.863658,32.753065
793,112.863648,32.753022
794,112.863637,32.752978
795,112.86363,32.752946
796,112.863625,32.752924
797,112.863613,32.752868
798,112.863606,32.752837
799,112.863603,32.752815
800,112.863591,32.752758
801,112.863588,32.752737
802,112.863583,32.752693
803,112.863584,32.752677
804,112.863584,32.752671
805,112.863578,32.75264
806,112.863589,32.752663
807,112.863562,32.752651
808,112.863507,32.752671
809,112.863492,32.752705
810,112.863495,32.752729
811,112.863507,32.752772
812,112.863519,32.75282
813,112.863532,32.752889
814,112.863546,32.752946
815,112.863556,32.752979
816,112.863558,32.753002
817,112.863563,32.753024
818,112.863571,32.753067
819,112.863577,32.75309
820,112.863584,32.753134
821,112.863592,32.753166
822,112.863595,32.753189
823,112.863604,32.753234
824,112.863612,32.753267
825,112.863614,32.75329
826,112.863624,32.753332
827,112.863639,32.753375
828,112.863668,32.753413
829,112.863681,32.753417
830,112.863684,32.753411
831,112.863696,32.75339
832,112.863692,32.753396
833,112.863694,32.753375
834,112.863693,32.75334
835,112.863682,32.753283
836,112.863678,32.753259
837,112.863667,32.753216
838,112.863661,32.753194
839,112.863655,32.753171
840,112.863647,32.753127
841,112.863639,32.753096
842,112.863634,32.753073
843,112.863623,32.75303
844,112.863619,32.752997
845,112.863611,32.752963
846,112.863603,32.752921
847,112.863599,32.752901
848,112.863592,32.752879
849,112.863591,32.752876
850,112.863597,32.752892
851,112.863596,32.752892
852,112.863597,32.75289
853,112.863598,32.752891
854,112.863598,32.752892
855,112.863596,32.752888
856,112.863595,32.752887
857,112.863587,32.752845
858,112.863582,32.752823
859,112.863576,32.7528
860,112.863567,32.752755
861,112.863562,32.752722
862,112.86356,32.75271
863,112.863555,32.752667
864,112.863575,32.75264
865,112.863609,32.752625
866,112.863591,32.752632
867,112.863611,32.752632
868,112.863636,32.752643
869,112.86363,32.752646
870,112.863652,32.752688
871,112.86366,32.752724
872,112.863664,32.752746
873,112.863672,32.752799
874,112.863688,32.752837
875,112.863692,32.752862
876,112.863704,32.752938
877,112.863713,32.752989
878,112.863722,32.753028
879,112.863725,32.753051
880,112.863735,32.753104
881,112.863748,32.753155
882,112.863762,32.753203
883,112.863769,32.753241
884,112.863772,32.753293
885,112.863761,32.75333
886,112.863753,32.753352
887,112.863748,32.75338
888,112.863747,32.753374
889,112.863747,32.753373
890,112.863748,32.753373
891,112.86375,32.753354
892,112.863751,32.753342
893,112.86377,32.753355
894,112.86379,32.753366
895,112.863759,32.753352
896,112.863736,32.753307
897,112.863743,32.75327
898,112.863757,32.75329
899,112.863766,32.753315
900,112.863779,32.753329
901,112.8638,32.753346
902,112.863809,32.753368
903,112.863812,32.753369
904,112.863814,32.75338
905,112.863813,32.753374
906,112.8638,32.753355
907,112.863777,32.75331
908,112.863769,32.75329
909,112.863752,32.753276
910,112.8638,32.753299
911,112.863807,32.753303
912,112.863819,32.753329
913,112.863822,32.753352
914,112.863812,32.753338
915,112.863792,32.753307
916,112.863783,32.753327
917,112.863761,32.753358
918,112.863745,32.753377
919,112.863698,32.753397
920,112.863681,32.753394
921,112.863678,32.753377
922,112.863674,32.753355
923,112.863661,32.753304
924,112.863642,32.753222
925,112.863635,32.753186
926,112.863625,32.753151
927,112.863616,32.753103
928,112.863609,32.753059
929,112.863595,32.753
930,112.863587,32.752954
931,112.86358,32.752921
932,112.863563,32.752842
933,112.863553,32.752794
934,112.863546,32.752764
935,112.863538,32.752699
936,112.863531,32.752679
937,112.863496,32.752657
938,112.863529,32.752671
939,112.863554,32.752671
940,112.863518,32.752702
941,112.863528,32.752761
942,112.863508,32.752809
943,112.863469,32.752831
944,112.863436,32.752854
945,112.863434,32.752903
946,112.863442,32.752936
947,112.863445,32.752958
948,112.863458,32.753025
949,112.863474,32.75309
950,112.863482,32.753123
951,112.863489,32.753145
952,112.863491,32.753158
953,112.863488,32.753135
954,112.863485,32.753123
955,112.86349,32.753144
956,112.863491,32.753158
957,112.863495,32.753185
958,112.863498,32.753197
959,112.863498,32.753223
960,112.863503,32.753242
961,112.863506,32.753273
962,112.86351,32.753312
963,112.863516,32.753335
964,112.863523,32.753365
965,112.863532,32.753404
966,112.863536,32.753424
967,112.863551,32.753453
968,112.863551,32.753451
969,112.863551,32.75345
970,112.863551,32.753448
971,112.863551,32.753448
972,112.863542,32.753425
973,112.863574,32.753445
974,112.863614,32.753445
975,112.863726,32.753425
